<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct (val)</a>,🤔,3.27,?,7504568320.0,128167.0,32768.0,✓,✗,(✓),✓,39.77 ± 1.26 / 59.15 ± 0.88,48.94 ± 1.52 / 36.80 ± 1.42,28.33 ± 2.29 / 62.91 ± 1.29,44.73 ± 0.75 / 0.00 ± 0.00,32.65 ± 0.31 / 36.71 ± 0.36,0.00 ± 0.00 / 20.20 ± 0.69,0.00 ± 0.00 / 25.23 ± 1.12,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-2B-Base'>Qwen/Qwen3.5-2B-Base (val)</a>,🧠,3.32,N/A,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,4.36 ± 1.47 / 18.52 ± 0.51,41.09 ± 2.19 / 36.61 ± 1.49,29.34 ± 2.76 / 52.68 ± 2.80,74.47 ± 0.95 / 55.99 ± 0.98,27.07 ± 1.30 / 27.84 ± 1.38,33.83 ± 0.67 / 45.35 ± 0.41,9.92 ± 2.04 / 29.57 ± 1.32,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,3.34,12.99,2424375168.0,99000.0,28723.0,✗,✗,(✓),✓,43.19 ± 3.24 / 59.53 ± 3.14,36.85 ± 2.53 / 31.26 ± 1.83,4.66 ± 2.98 / 37.54 ± 2.07,49.71 ± 2.52 / 32.70 ± 3.21,33.58 ± 0.24 / 37.97 ± 0.25,16.29 ± 1.17 / 35.45 ± 0.98,5.29 ± 1.76 / 28.80 ± 1.25,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.15.0.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.41,3.44,751632384.0,151936.0,40960.0,✓,✗,✗,✓,29.02 ± 4.06 / 41.86 ± 4.87,33.32 ± 3.55 / 26.48 ± 2.70,5.07 ± 2.12 / 45.28 ± 4.30,43.66 ± 1.30 / 28.05 ± 1.48,36.81 ± 0.30 / 40.13 ± 0.39,12.73 ± 1.55 / 33.08 ± 1.55,7.44 ± 1.37 / 30.14 ± 1.16,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.48,0.02,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,42.53 ± 2.62 / 59.81 ± 2.45,42.46 ± 2.22 / 33.94 ± 1.98,9.33 ± 1.18 / 53.71 ± 0.78,12.65 ± 0.53 / 0.00 ± 0.00,37.08 ± 0.16 / 40.14 ± 0.17,6.99 ± 1.60 / 29.49 ± 1.39,2.11 ± 0.99 / 26.75 ± 0.73,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-0.8B-Base'>Qwen/Qwen3.5-0.8B-Base (val)</a>,🧠,3.57,N/A,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,17.67 ± 1.26 / 26.19 ± 0.79,42.54 ± 4.25 / 38.87 ± 2.62,6.10 ± 2.44 / 46.37 ± 2.79,67.52 ± 0.92 / 49.63 ± 0.83,26.53 ± 1.45 / 27.79 ± 1.60,20.05 ± 1.19 / 37.46 ± 0.88,-1.59 ± 0.92 / 23.36 ± 1.09,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,3.63,0.0,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,35.88 ± 2.71 / 51.57 ± 3.17,28.15 ± 1.54 / 22.93 ± 0.77,4.55 ± 1.46 / 50.26 ± 1.61,13.52 ± 0.21 / 0.00 ± 0.00,34.59 ± 0.21 / 39.35 ± 0.19,19.87 ± 1.17 / 38.96 ± 0.93,5.38 ± 1.09 / 28.24 ± 1.10,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.67,N/A,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,39.93 ± 2.51 / 53.22 ± 3.99,37.00 ± 3.12 / 33.77 ± 3.41,1.53 ± 2.28 / 37.58 ± 2.63,44.70 ± 2.87 / 31.54 ± 3.99,28.86 ± 2.06 / 30.83 ± 2.43,-0.13 ± 1.03 / 23.13 ± 0.58,-0.09 ± 0.26 / 25.98 ± 0.69,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.73,1.33,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,37.07 ± 5.24 / 54.77 ± 5.42,35.11 ± 1.28 / 30.59 ± 0.77,-0.31 ± 0.90 / 33.37 ± 0.28,12.39 ± 0.72 / 0.02 ± 0.02,29.87 ± 0.78 / 31.85 ± 0.87,20.20 ± 1.19 / 39.54 ± 0.83,6.35 ± 1.07 / 30.13 ± 0.77,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,3.77,1.35,742489344.0,65536.0,128000.0,✗,✗,(✓),✓,29.78 ± 1.88 / 42.27 ± 2.09,25.98 ± 0.99 / 23.47 ± 1.00,3.85 ± 1.17 / 49.83 ± 1.63,13.80 ± 0.46 / 0.57 ± 0.52,35.89 ± 0.18 / 39.84 ± 0.18,7.56 ± 0.87 / 26.31 ± 0.83,0.73 ± 1.20 / 26.27 ± 0.76,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,3.78,0.01,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,29.04 ± 2.99 / 42.23 ± 3.51,28.96 ± 2.09 / 21.07 ± 2.00,2.79 ± 1.65 / 46.85 ± 2.96,20.26 ± 1.91 / 7.05 ± 1.93,33.68 ± 0.40 / 38.11 ± 0.45,5.67 ± 1.32 / 27.72 ± 1.08,-1.08 ± 1.17 / 25.07 ± 0.80,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.79,N/A,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,14.30 ± 4.30 / 29.88 ± 3.12,45.58 ± 1.41 / 43.23 ± 1.35,2.37 ± 1.66 / 34.80 ± 0.83,48.95 ± 4.99 / 35.62 ± 3.82,23.18 ± 1.31 / 23.60 ± 1.45,14.48 ± 0.98 / 29.75 ± 0.89,0.99 ± 0.86 / 25.97 ± 0.87,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.81,N/A,1195468800.0,65536.0,2048.0,✓,✗,(✓),✓,27.99 ± 5.88 / 45.50 ± 6.54,38.68 ± 2.94 / 33.11 ± 3.49,-0.88 ± 1.56 / 42.96 ± 2.78,42.33 ± 1.55 / 31.01 ± 1.26,25.60 ± 3.20 / 27.84 ± 3.75,0.38 ± 0.80 / 24.78 ± 0.59,0.65 ± 0.85 / 25.65 ± 0.93,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.84,N/A,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,30.46 ± 3.33 / 50.87 ± 2.22,16.68 ± 5.52 / 18.16 ± 4.58,1.24 ± 2.26 / 47.27 ± 1.99,42.37 ± 3.50 / 29.27 ± 3.45,29.36 ± 0.98 / 32.16 ± 0.93,0.10 ± 1.26 / 25.00 ± 0.92,0.37 ± 0.73 / 25.81 ± 0.53,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview</a>,🧠,3.84,N/A,3211926528.0,65536.0,4096.0,✓,✗,(✓),✓,25.07 ± 3.63 / 43.92 ± 4.75,19.76 ± 8.11 / 19.23 ± 6.36,1.34 ± 1.55 / 42.06 ± 3.14,41.55 ± 1.47 / 30.01 ± 1.21,30.48 ± 2.44 / 33.60 ± 3.10,-0.23 ± 0.84 / 23.56 ± 0.44,-1.21 ± 1.06 / 24.98 ± 0.90,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.85,N/A,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,30.37 ± 2.89 / 38.36 ± 2.79,10.78 ± 5.82 / 13.99 ± 3.91,2.10 ± 1.75 / 41.67 ± 3.18,50.49 ± 0.81 / 36.88 ± 0.62,29.09 ± 1.76 / 30.64 ± 1.58,0.53 ± 0.78 / 25.54 ± 0.67,-1.38 ± 1.30 / 23.17 ± 0.67,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,16.15.0.dev0,15.10.1.dev0,15.10.1.dev0
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus (val)</a>,🤔,3.89,?,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,-0.36 ± 2.31 / 26.36 ± 1.29,51.17 ± 2.67 / 41.74 ± 2.29,7.46 ± 2.33 / 46.21 ± 1.49,12.81 ± 1.22 / 2.42 ± 0.51,29.50 ± 2.18 / 33.86 ± 2.46,7.93 ± 2.02 / 22.58 ± 0.79,3.61 ± 1.60 / 26.02 ± 1.10,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mii-llm/nesso-0.4B-agentic'>mii-llm/nesso-0.4B-agentic (val)</a>,📝,3.89,0.25,560898240.0,128262.0,4096.0,✓,✗,(✓),✗,16.45 ± 2.63 / 28.91 ± 2.03,6.94 ± 2.91 / 6.58 ± 2.29,-0.44 ± 1.18 / 35.48 ± 1.55,41.99 ± 1.07 / 27.95 ± 1.28,35.05 ± 0.37 / 38.92 ± 0.41,-0.47 ± 1.74 / 20.86 ± 1.27,0.26 ± 0.42 / 25.62 ± 0.97,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,3.90,0.0,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,10.30 ± 4.59 / 27.95 ± 4.02,9.06 ± 5.78 / 16.12 ± 2.78,0.02 ± 1.29 / 36.55 ± 3.36,50.88 ± 1.21 / 31.97 ± 1.88,33.92 ± 0.36 / 38.99 ± 0.36,1.88 ± 0.84 / 26.80 ± 0.92,0.03 ± 1.18 / 24.75 ± 0.68,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,16.15.0.dev0,15.10.1.dev0,15.10.1.dev0
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct</a>,📝,3.98,8.07,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,7.97 ± 2.36 / 27.80 ± 2.54,19.58 ± 1.84 / 19.29 ± 1.88,-0.33 ± 1.35 / 35.25 ± 1.23,32.02 ± 0.70 / 19.70 ± 1.08,34.86 ± 0.62 / 38.66 ± 0.75,-0.51 ± 1.67 / 23.20 ± 1.11,-1.05 ± 1.30 / 25.94 ± 0.72,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.14.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.01,N/A,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,23.88 ± 4.35 / 37.18 ± 5.29,24.94 ± 3.37 / 24.10 ± 3.34,2.31 ± 1.27 / 45.98 ± 3.22,26.75 ± 2.19 / 18.80 ± 1.90,25.42 ± 2.92 / 27.28 ± 3.28,-1.05 ± 1.26 / 23.24 ± 0.73,-0.17 ± 1.11 / 25.74 ± 0.62,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,4.05,0.7,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,15.18 ± 2.89 / 33.90 ± 3.23,29.59 ± 3.57 / 24.58 ± 1.95,1.91 ± 1.85 / 45.28 ± 4.52,8.57 ± 0.93 / 0.00 ± 0.00,30.97 ± 1.10 / 31.91 ± 1.23,-0.64 ± 1.26 / 23.84 ± 0.82,-0.82 ± 0.92 / 24.95 ± 1.03,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-4-E4B'>google/gemma-4-E4B (val)</a>,🧠,4.07,N/A,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,13.08 ± 1.54 / 40.34 ± 0.99,34.54 ± 2.37 / 30.30 ± 1.95,0.46 ± 2.99 / 49.32 ± 1.61,49.95 ± 2.49 / 32.75 ± 1.74,19.81 ± 0.95 / 20.99 ± 1.09,9.31 ± 2.55 / 32.42 ± 1.74,-1.94 ± 1.18 / 23.75 ± 0.94,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,4.16,N/A,353424384.0,65536.0,2048.0,✓,✗,(✓),✓,13.24 ± 4.20 / 33.73 ± 5.09,33.13 ± 4.49 / 31.28 ± 3.97,1.08 ± 0.71 / 39.20 ± 3.93,24.97 ± 1.38 / 16.09 ± 1.80,23.96 ± 1.76 / 25.97 ± 2.12,-1.07 ± 0.87 / 23.81 ± 0.74,0.29 ± 1.24 / 24.44 ± 1.23,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-4-E2B'>google/gemma-4-E2B (val)</a>,🧠,4.16,N/A,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,15.38 ± 2.81 / 40.26 ± 1.79,18.48 ± 2.06 / 18.04 ± 1.31,5.28 ± 2.41 / 50.90 ± 1.26,36.49 ± 2.44 / 24.04 ± 1.94,18.10 ± 1.16 / 18.74 ± 1.24,9.77 ± 1.11 / 32.03 ± 0.87,1.44 ± 1.90 / 25.74 ± 1.34,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,4.16,1.89,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,15.41 ± 3.53 / 32.44 ± 3.20,10.09 ± 6.17 / 9.69 ± 5.28,-0.15 ± 1.35 / 38.78 ± 4.24,6.72 ± 0.18 / 0.00 ± 0.00,32.25 ± 1.73 / 36.12 ± 2.18,-0.05 ± 1.20 / 24.19 ± 1.24,-0.56 ± 1.08 / 25.28 ± 1.09,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.22,2.74,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,3.77 ± 3.12 / 21.29 ± 4.06,28.19 ± 2.97 / 26.91 ± 2.71,-1.11 ± 1.11 / 34.07 ± 1.22,9.29 ± 0.31 / 0.00 ± 0.00,28.67 ± 1.94 / 31.34 ± 2.35,-0.10 ± 1.11 / 24.70 ± 0.51,0.89 ± 0.94 / 24.89 ± 1.18,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/mii-llm/zagreus-0.4B-ita'>mii-llm/zagreus-0.4B-ita (val)</a>,🧠,4.24,N/A,437760960.0,128256.0,4096.0,✓,✗,(✓),✗,-0.72 ± 0.72 / 17.41 ± 0.32,0.00 ± 0.00 / 0.00 ± 0.00,3.36 ± 1.88 / 44.59 ± 1.80,29.80 ± 1.03 / 18.65 ± 0.87,30.09 ± 0.77 / 34.85 ± 0.91,3.40 ± 1.28 / 23.20 ± 0.94,-4.75 ± 1.24 / 21.60 ± 0.86,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,4.28,N/A,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,16.29 ± 4.94 / 31.81 ± 5.24,17.24 ± 6.36 / 15.21 ± 5.59,0.07 ± 1.74 / 36.96 ± 4.12,25.66 ± 2.00 / 16.64 ± 3.00,21.21 ± 3.09 / 23.71 ± 3.61,-1.65 ± 0.76 / 23.23 ± 0.59,0.80 ± 0.91 / 26.14 ± 0.66,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.30,N/A,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,4.83 ± 2.32 / 21.27 ± 3.94,24.70 ± 1.22 / 22.57 ± 1.23,-0.24 ± 1.24 / 38.60 ± 4.23,9.68 ± 1.77 / 5.91 ± 1.94,27.01 ± 1.61 / 29.24 ± 1.75,0.51 ± 1.52 / 25.21 ± 1.18,0.34 ± 1.19 / 24.48 ± 1.16,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.30,14.14,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,2.08 ± 2.16 / 21.49 ± 2.56,19.70 ± 4.52 / 19.18 ± 3.39,0.87 ± 1.55 / 37.06 ± 4.03,5.31 ± 0.31 / 0.00 ± 0.00,27.75 ± 2.44 / 30.52 ± 2.98,-0.07 ± 1.15 / 25.17 ± 0.58,0.35 ± 0.86 / 25.82 ± 0.64,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base</a>,🧠,4.34,N/A,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,0.26 ± 0.49 / 16.63 ± 0.29,28.52 ± 2.11 / 28.17 ± 1.31,-0.15 ± 0.65 / 38.91 ± 3.95,25.03 ± 1.32 / 16.11 ± 1.02,21.94 ± 1.40 / 24.23 ± 1.73,0.07 ± 0.73 / 23.15 ± 0.56,0.00 ± 0.00 / 26.00 ± 0.69,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.14.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking</a>,📝,4.61,1.85,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,1.62 ± 1.95 / 20.00 ± 2.82,11.68 ± 3.31 / 10.61 ± 2.48,0.33 ± 1.49 / 38.60 ± 2.93,5.79 ± 0.30 / 0.00 ± 0.00,18.78 ± 0.38 / 22.19 ± 0.47,0.07 ± 1.25 / 25.38 ± 1.04,-0.10 ± 0.89 / 24.25 ± 0.87,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.14.0.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (val)</a>,📝,4.66,0.0,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,4.05 ± 2.18 / 20.90 ± 2.03,6.34 ± 1.14 / 4.81 ± 0.81,1.88 ± 1.54 / 34.61 ± 0.92,1.28 ± 0.09 / 0.00 ± 0.00,17.88 ± 0.22 / 20.28 ± 0.24,-0.26 ± 0.56 / 22.85 ± 0.46,3.49 ± 1.32 / 26.76 ± 0.68,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/PleIAs/Monad'>PleIAs/Monad</a>,🧠,5.02,N/A,56656128.0,8192.0,2048.0,✓,✗,(✓),✓,3.66 ± 2.35 / 22.30 ± 2.93,0.00 ± 0.00 / 0.00 ± 0.00,0.07 ± 0.50 / 35.66 ± 3.13,1.06 ± 0.24 / 0.00 ± 0.00,8.53 ± 0.29 / 9.09 ± 0.30,0.32 ± 1.11 / 24.52 ± 0.62,-0.44 ± 1.05 / 25.23 ± 1.20,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.14.0.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/infly/OpenCoder-1.5B-Base'>infly/OpenCoder-1.5B-Base</a>,📝,-,?,1905650960.0,96640.0,4096.0,✓,✗,(✓),✗,1.01 ± 1.47 / 25.21 ± 2.53,-,-0.15 ± 2.26 / 38.34 ± 3.42,-,-,-,-,15.7.2.dev0,-,15.8.2,-,-,-,-
<a href='https://hf.co/meta-llama/Llama-2-7b-chat-hf'>meta-llama/Llama-2-7b-chat-hf</a>,📝,-,?,6738417664.0,32000.0,4096.0,✓,✗,(✓),✓,46.86 ± 1.36 / 56.21 ± 2.01,37.66 ± 2.29 / 28.63 ± 1.76,10.34 ± 0.86 / 45.34 ± 2.31,58.71 ± 0.70 / 40.39 ± 1.32,-,-,-,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,-,?,405868625920.0,128256.0,131072.0,✓,✗,(✓),✓,66.62 ± 1.51 / 75.75 ± 1.47,85.35 ± 1.06 / 74.53 ± 1.11,26.04 ± 3.25 / 57.23 ± 1.56,71.75 ± 1.55 / 46.85 ± 4.27,-,73.97 ± 0.89 / 80.47 ± 0.68,79.65 ± 1.29 / 84.71 ± 0.96,15.11.0.dev0,15.11.0.dev0,15.11.0.dev0,15.11.0.dev0,-,15.11.0.dev0,15.11.0.dev0
<a href='https://hf.co/ibm-granite/granite-8b-code-instruct-4k'>ibm-granite/granite-8b-code-instruct-4k</a>,📝,-,?,8054910976.0,49152.0,4096.0,✓,✗,(✓),✗,34.07 ± 1.38 / 41.17 ± 1.03,65.53 ± 2.08 / 55.40 ± 2.15,10.15 ± 1.43 / 51.10 ± 2.13,59.23 ± 1.01 / 42.96 ± 1.15,-,12.20 ± 0.79 / 32.65 ± 0.72,4.00 ± 1.03 / 28.11 ± 0.80,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,-,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/ibm-granite/granite-8b-code-base-4k'>ibm-granite/granite-8b-code-base-4k</a>,🧠,-,N/A,8054910976.0,49152.0,4096.0,✓,✗,(✓),✗,33.53 ± 1.73 / 41.94 ± 0.83,67.30 ± 2.20 / 58.62 ± 1.64,3.59 ± 1.61 / 45.04 ± 3.80,62.03 ± 1.88 / 45.96 ± 1.98,-,9.69 ± 0.64 / 31.91 ± 0.36,0.08 ± 1.31 / 25.21 ± 0.95,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,-,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/intfloat/multilingual-e5-base'>intfloat/multilingual-e5-base</a>,🔍,-,N/A,278044162.0,250002.0,512.0,✓,✗,(✓),✗,50.84 ± 1.89 / 66.85 ± 1.26,86.38 ± 1.11 / 76.43 ± 1.03,6.23 ± 3.76 / 51.09 ± 3.09,43.92 ± 0.94 / 30.71 ± 1.11,-,-,-,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,-,-,-
