<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/google/gemma-4-E2B'>google/gemma-4-E2B (val)</a>,🧠,3.69,N/A,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,73.00 ± 2.87 / 85.72 ± 1.51,11.37 ± 1.20 / 9.81 ± 1.14,-2.48 ± 1.73 / 47.16 ± 1.28,47.42 ± 2.45 / 28.93 ± 2.43,16.82 ± 0.60 / 17.46 ± 0.70,0.72 ± 1.94 / 25.31 ± 1.46,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview</a>,🧠,3.72,N/A,3211926528.0,65536.0,4096.0,✓,✗,(✓),✓,44.90 ± 10.49 / 63.51 ± 8.93,18.00 ± 5.86 / 15.89 ± 4.23,0.37 ± 2.09 / 45.01 ± 3.88,44.74 ± 3.79 / 31.43 ± 3.65,21.01 ± 1.49 / 22.53 ± 1.71,-1.46 ± 1.40 / 25.09 ± 0.88,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8 (val)</a>,🤔,3.93,?,2680100864.0,131072.0,262144.0,✓,✗,✗,✓,47.29 ± 1.65 / 71.49 ± 0.88,36.31 ± 1.82 / 28.32 ± 1.30,1.99 ± 2.53 / 44.83 ± 1.40,4.55 ± 0.79 / 1.55 ± 0.41,18.04 ± 0.52 / 20.18 ± 0.58,2.45 ± 1.06 / 27.07 ± 0.79,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,4.00,11.25,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,29.04 ± 13.93 / 51.56 ± 10.74,13.28 ± 4.51 / 10.64 ± 2.96,0.20 ± 0.63 / 33.99 ± 0.60,14.16 ± 1.37 / 0.03 ± 0.02,23.88 ± 2.48 / 26.50 ± 3.45,0.31 ± 1.27 / 25.30 ± 0.64,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,4.05,N/A,353424384.0,65536.0,2048.0,✓,✗,(✓),✓,31.78 ± 10.00 / 55.77 ± 9.03,19.72 ± 1.33 / 17.82 ± 1.01,1.46 ± 1.64 / 36.82 ± 3.86,21.98 ± 4.02 / 13.48 ± 3.18,18.32 ± 1.13 / 19.46 ± 1.31,-1.72 ± 1.74 / 25.04 ± 1.00,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,4.05,0.49,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,18.89 ± 11.71 / 46.03 ± 9.26,26.74 ± 1.68 / 16.74 ± 2.04,-0.02 ± 1.79 / 45.27 ± 2.83,12.82 ± 1.00 / 0.02 ± 0.02,22.25 ± 1.10 / 22.86 ± 1.28,-0.59 ± 0.90 / 25.08 ± 0.87,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,4.17,6.67,742489344.0,65536.0,128000.0,✗,✗,(✓),✓,11.09 ± 4.02 / 47.09 ± 4.71,12.11 ± 1.02 / 11.10 ± 0.80,0.32 ± 0.73 / 37.13 ± 4.35,9.21 ± 1.27 / 0.05 ± 0.05,24.86 ± 0.36 / 27.66 ± 0.41,0.97 ± 1.16 / 25.86 ± 0.52,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,4.17,0.08,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,11.27 ± 11.00 / 50.53 ± 6.69,12.46 ± 1.10 / 12.32 ± 1.02,0.22 ± 0.97 / 34.45 ± 2.16,11.22 ± 0.92 / 0.02 ± 0.02,25.17 ± 0.34 / 27.90 ± 0.31,-0.67 ± 1.29 / 24.62 ± 1.07,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus (val)</a>,🤔,4.21,?,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,22.38 ± 2.35 / 58.57 ± 1.28,28.80 ± 3.21 / 25.84 ± 2.50,10.15 ± 2.80 / 54.82 ± 1.41,6.67 ± 0.55 / 1.41 ± 0.37,13.66 ± 2.12 / 16.16 ± 2.51,4.97 ± 1.92 / 26.91 ± 0.90,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,4.25,N/A,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,11.42 ± 12.12 / 40.14 ± 8.48,16.84 ± 3.09 / 15.70 ± 2.58,1.00 ± 1.65 / 40.75 ± 4.36,22.00 ± 3.41 / 11.23 ± 3.06,17.91 ± 1.40 / 19.91 ± 1.57,-0.86 ± 1.25 / 24.03 ± 0.94,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,4.35,1.33,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,4.29 ± 2.25 / 34.04 ± 0.76,7.24 ± 1.44 / 7.37 ± 1.03,1.34 ± 1.77 / 38.66 ± 3.45,4.91 ± 1.88 / 0.02 ± 0.02,23.48 ± 0.68 / 26.23 ± 0.79,0.34 ± 1.73 / 24.44 ± 1.54,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.39,8.34,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,13.01 ± 8.23 / 43.34 ± 5.83,13.54 ± 1.45 / 12.89 ± 1.56,0.59 ± 1.44 / 36.97 ± 3.43,9.26 ± 1.39 / 0.04 ± 0.03,18.18 ± 1.73 / 19.01 ± 1.81,-1.01 ± 1.80 / 23.82 ± 1.22,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.39,4.84,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,6.95 ± 6.03 / 37.79 ± 5.64,12.28 ± 1.49 / 12.58 ± 1.28,1.00 ± 1.02 / 38.59 ± 5.31,6.63 ± 1.64 / 0.00 ± 0.00,19.25 ± 0.93 / 21.03 ± 1.08,0.38 ± 1.93 / 24.72 ± 1.21,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.42,N/A,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,9.65 ± 10.52 / 42.24 ± 8.80,9.80 ± 1.15 / 9.29 ± 1.23,-0.41 ± 0.82 / 33.52 ± 0.40,15.28 ± 3.52 / 9.22 ± 2.94,16.44 ± 1.39 / 17.49 ± 1.48,0.66 ± 0.98 / 25.39 ± 0.77,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct</a>,📝,4.50,12.24,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,-3.04 ± 3.94 / 33.82 ± 0.61,10.68 ± 0.79 / 10.17 ± 0.79,0.00 ± 0.00 / 33.36 ± 0.27,10.98 ± 2.07 / 3.85 ± 1.55,18.43 ± 1.40 / 19.75 ± 1.69,0.63 ± 0.85 / 25.72 ± 0.25,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.14.0.dev0,16.11.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.52,N/A,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,1.43 ± 9.79 / 39.24 ± 7.44,12.56 ± 1.77 / 12.17 ± 1.57,0.00 ± 0.71 / 35.99 ± 2.70,9.91 ± 3.45 / 5.16 ± 2.41,16.36 ± 1.78 / 17.27 ± 1.85,0.38 ± 1.08 / 25.89 ± 0.65,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base</a>,🧠,4.57,N/A,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,0.42 ± 0.55 / 33.20 ± 0.39,8.12 ± 1.11 / 9.33 ± 0.72,0.41 ± 1.48 / 39.34 ± 4.44,11.38 ± 3.28 / 6.79 ± 2.69,15.40 ± 1.78 / 16.59 ± 1.85,-0.31 ± 0.62 / 25.68 ± 0.30,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.14.0.dev0,16.11.0.dev0
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (val)</a>,📝,4.90,1.48,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,-0.62 ± 2.38 / 35.70 ± 1.18,0.67 ± 0.35 / 0.50 ± 0.26,0.12 ± 0.12 / 34.05 ± 1.79,5.51 ± 0.44 / 0.00 ± 0.00,9.98 ± 0.51 / 10.94 ± 0.57,0.42 ± 0.99 / 25.00 ± 1.65,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking</a>,📝,4.91,0.46,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,-18.74 ± 4.53 / 33.84 ± 1.08,0.49 ± 0.45 / 0.54 ± 0.44,0.00 ± 0.00 / 33.36 ± 0.27,5.70 ± 0.86 / 0.00 ± 0.00,14.17 ± 0.33 / 16.30 ± 0.40,-0.02 ± 0.95 / 25.90 ± 0.56,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.14.0.dev0,16.10.1.dev0
<a href='https://hf.co/PleIAs/Monad'>PleIAs/Monad</a>,🧠,4.92,N/A,56656128.0,8192.0,2048.0,✓,✗,(✓),✓,8.22 ± 7.53 / 46.53 ± 5.95,0.00 ± 0.00 / 0.00 ± 0.00,1.25 ± 2.05 / 41.32 ± 3.85,1.23 ± 0.24 / 0.01 ± 0.01,7.62 ± 0.35 / 7.94 ± 0.36,1.48 ± 1.06 / 25.85 ± 0.74,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.14.0.dev0,16.10.1.dev0
<a href='https://hf.co/ibm-granite/granite-20b-code-base'>ibm-granite/granite-20b-code-base</a>,🧠,-,N/A,20066993152.0,49152.0,8192.0,✓,✗,(✓),✗,84.31 ± 0.79 / 91.98 ± 0.44,51.90 ± 2.29 / 36.77 ± 3.94,4.84 ± 1.53 / 50.68 ± 1.47,68.61 ± 0.94 / 48.44 ± 1.70,-,5.31 ± 0.97 / 29.20 ± 0.68,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,-,15.8.1.dev0
<a href='https://hf.co/tencent/Hunyuan-1.8B-Instruct'>tencent/Hunyuan-1.8B-Instruct</a>,🤔,-,?,1791080448.0,120818.0,262144.0,✓,✗,(✓),✓,22.29 ± 4.17 / 60.69 ± 1.93,18.06 ± 1.77 / 14.01 ± 1.35,-0.03 ± 1.30 / 46.75 ± 2.77,24.08 ± 0.88 / 0.00 ± 0.00,-,0.00 ± 0.00 / 25.72 ± 0.28,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,-,16.2.2.dev0
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct</a>,🤔,-,?,7504568320.0,128167.0,32768.0,✓,✗,(✓),✓,64.69 ± 1.60 / 82.27 ± 0.79,35.02 ± 1.64 / 23.02 ± 1.18,4.27 ± 1.86 / 51.26 ± 1.05,31.94 ± 0.67 / 0.00 ± 0.00,-,0.00 ± 0.00 / 25.72 ± 0.28,16.13.0.dev0,16.13.0.dev0,16.13.0.dev0,16.13.0.dev0,-,16.13.0.dev0
<a href='https://hf.co/ibm-granite/granite-20b-code-instruct'>ibm-granite/granite-20b-code-instruct</a>,📝,-,?,20066993152.0,49152.0,8192.0,✓,✗,(✓),✗,78.98 ± 0.98 / 88.71 ± 0.59,44.95 ± 2.81 / 25.19 ± 3.53,3.61 ± 1.45 / 46.11 ± 3.48,61.33 ± 1.34 / 43.17 ± 1.54,-,4.09 ± 1.03 / 25.88 ± 1.03,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/ibm-granite/granite-34b-code-base'>ibm-granite/granite-34b-code-base</a>,🧠,-,N/A,33715603456.0,49152.0,8192.0,✓,✗,(✓),✗,86.36 ± 0.76 / 93.12 ± 0.39,57.37 ± 2.74 / 47.53 ± 3.27,6.32 ± 2.68 / 46.08 ± 5.06,71.72 ± 0.81 / 53.25 ± 1.38,-,5.88 ± 0.90 / 29.46 ± 0.68,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0,-,15.8.2.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07#minimal (zero-shot, val)</a>",🤔,-,?,?,100256.0,272000.0,✓,✗,✗,✓,88.22 ± 1.51 / 93.88 ± 0.79,40.86 ± 1.96 / 15.73 ± 0.75,11.46 ± 3.01 / 52.02 ± 1.78,54.03 ± 0.58 / 35.97 ± 0.67,-,44.76 ± 2.09 / 57.97 ± 1.70,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,-,15.15.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07#high (zero-shot, val)</a>",🤔,-,?,?,100256.0,272000.0,✓,✗,✗,✓,89.33 ± 1.22 / 94.55 ± 0.62,68.65 ± 1.60 / 58.55 ± 1.72,39.07 ± 3.90 / 67.27 ± 2.15,66.05 ± 0.98 / 50.12 ± 1.31,-,63.32 ± 2.45 / 72.46 ± 1.84,15.16.0,15.16.0,15.16.0,15.16.0,-,15.16.0
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,-,N/A,10731524096.0,32000.0,4096.0,✓,✗,(✓),✗,91.41 ± 0.67 / 95.66 ± 0.35,60.16 ± 1.85 / 41.47 ± 3.37,18.67 ± 1.99 / 54.20 ± 3.14,75.92 ± 0.74 / 59.75 ± 1.73,-,21.39 ± 1.22 / 40.43 ± 0.99,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07#minimal (zero-shot, val)</a>",🤔,-,?,?,100256.0,272000.0,✓,✗,✗,✓,89.74 ± 1.19 / 94.71 ± 0.61,49.66 ± 2.70 / 21.02 ± 1.61,26.88 ± 4.02 / 60.10 ± 2.16,63.84 ± 0.71 / 43.35 ± 0.84,-,65.33 ± 1.70 / 74.18 ± 1.28,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,-,15.15.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07#high (zero-shot, val)</a>",🤔,-,?,?,100256.0,272000.0,✓,✗,✗,✓,89.58 ± 1.08 / 94.67 ± 0.56,59.28 ± 2.06 / 40.66 ± 2.44,42.87 ± 3.19 / 70.51 ± 1.82,64.85 ± 1.18 / 48.27 ± 1.65,-,75.56 ± 2.40 / 81.68 ± 1.81,15.16.0,15.16.0,15.16.0,15.16.0,-,15.16.0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,-,?,?,100256.0,272000.0,✓,✗,✗,✓,89.23 ± 1.39 / 94.43 ± 0.72,76.54 ± 1.54 / 59.13 ± 1.41,46.59 ± 2.38 / 72.07 ± 1.32,62.18 ± 0.89 / 45.45 ± 1.22,-,83.19 ± 0.85 / 87.38 ± 0.65,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,-,15.15.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-1.7B-Instruct'>utter-project/EuroLLM-1.7B-Instruct</a>,📝,-,?,1656850432.0,128000.0,4096.0,✓,✗,(✓),✓,81.74 ± 4.76 / 90.10 ± 3.01,21.13 ± 2.94 / 18.86 ± 2.17,2.59 ± 1.12 / 37.91 ± 2.57,58.51 ± 1.22 / 40.78 ± 1.74,-,0.52 ± 0.70 / 23.83 ± 0.93,15.10.0,15.10.0,15.10.0,15.10.0,-,15.10.0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#minimal (zero-shot, val)</a>",🤔,-,?,?,100256.0,272000.0,✓,✗,✗,✓,90.25 ± 1.13 / 94.98 ± 0.58,64.81 ± 1.45 / 39.11 ± 2.53,48.36 ± 1.45 / 73.81 ± 0.71,60.87 ± 0.62 / 41.63 ± 1.15,-,82.09 ± 1.62 / 86.60 ± 1.21,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,-,15.15.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#high (zero-shot, val)</a>",🤔,-,?,?,100256.0,272000.0,✓,✗,✗,✓,89.23 ± 1.39 / 94.43 ± 0.72,76.97 ± 1.87 / 59.31 ± 2.23,48.12 ± 2.45 / 73.36 ± 1.45,62.84 ± 0.70 / 45.44 ± 0.78,-,87.45 ± 1.14 / 90.62 ± 0.85,15.16.0,15.16.0,15.16.0,15.16.0,-,15.16.0
<a href='https://hf.co/ibm-granite/granite-34b-code-instruct'>ibm-granite/granite-34b-code-instruct</a>,📝,-,?,33715603456.0,49152.0,8192.0,✓,✗,(✓),✗,85.07 ± 1.37 / 92.52 ± 0.70,49.42 ± 3.47 / 36.73 ± 4.38,10.74 ± 1.93 / 52.62 ± 2.29,66.84 ± 1.05 / 48.68 ± 0.99,-,4.33 ± 0.54 / 27.67 ± 0.40,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0,-,15.8.2.dev0
<a href='https://hf.co/meta-llama/Llama-2-70b-chat-hf'>meta-llama/Llama-2-70b-chat-hf</a>,📝,-,?,68976653312.0,32000.0,4096.0,✓,✗,(✓),✓,89.39 ± 1.16 / 94.61 ± 0.63,42.32 ± 1.43 / 20.11 ± 0.52,10.44 ± 1.77 / 48.44 ± 1.56,59.63 ± 0.89 / 36.43 ± 1.67,-,3.96 ± 2.05 / 26.54 ± 1.47,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
<a href='https://hf.co/lightonai/alfred-40b-1023'>lightonai/alfred-40b-1023</a>,📝,-,?,?,65024.0,?,✓,✗,(✓),✗,84.24 ± 1.42 / 92.01 ± 0.77,39.98 ± 2.96 / 23.09 ± 4.71,3.19 ± 0.66 / 43.33 ± 2.48,61.75 ± 0.84 / 40.89 ± 1.79,-,1.19 ± 1.32 / 26.05 ± 0.58,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0,-,15.9.1.dev0
<a href='https://hf.co/kyutai/helium-1-2b'>kyutai/helium-1-2b</a>,🧠,-,N/A,2023868416.0,64000.0,4096.0,✓,✗,(✓),✗,0.00 ± 0.00 / 33.16 ± 0.42,27.51 ± 3.97 / 19.82 ± 2.35,-1.25 ± 1.85 / 36.79 ± 3.46,67.85 ± 1.31 / 51.51 ± 1.66,-,3.28 ± 0.73 / 27.40 ± 0.56,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0,-,16.0.0.dev0
<a href='https://hf.co/jhu-clsp/mmBERT-small'>jhu-clsp/mmBERT-small</a>,🔍,-,N/A,140642306.0,256000.0,8192.0,✓,✗,(✓),✓,71.83 ± 3.83 / 85.83 ± 1.96,65.10 ± 3.91 / 63.73 ± 4.13,20.55 ± 4.94 / 59.92 ± 2.32,30.82 ± 4.01 / 14.51 ± 2.53,-,-,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,-,-
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,-,N/A,307531778.0,256000.0,8192.0,✓,✗,(✓),✓,80.04 ± 5.19 / 89.93 ± 2.62,68.69 ± 2.12 / 65.85 ± 2.19,26.96 ± 4.08 / 62.58 ± 2.63,41.54 ± 1.68 / 20.97 ± 1.50,-,-,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,-,-
<a href='https://hf.co/tartuNLP/Llama-3.1-EstLLM-8B-Instruct-1125'>tartuNLP/Llama-3.1-EstLLM-8B-Instruct-1125</a>,📝,-,1.3,8030261248.0,128256.0,131072.0,✗,✓,(✓),✗,87.18 ± 0.61 / 93.56 ± 0.30,48.66 ± 1.97 / 26.99 ± 1.10,4.60 ± 1.34 / 43.81 ± 1.40,63.01 ± 1.36 / 44.87 ± 1.94,-,3.55 ± 1.08 / 27.17 ± 0.77,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,-,16.11.0.dev0
<a href='https://hf.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,-,N/A,559890946.0,250002.0,512.0,✓,✗,(✓),✗,89.62 ± 2.09 / 94.75 ± 1.13,76.08 ± 2.71 / 74.43 ± 2.03,5.54 ± 3.39 / 49.74 ± 3.83,49.74 ± 5.51 / 30.22 ± 4.94,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
<a href='https://hf.co/intfloat/multilingual-e5-base'>intfloat/multilingual-e5-base</a>,🔍,-,N/A,278044162.0,250002.0,512.0,✓,✗,(✓),✗,86.32 ± 0.67 / 93.14 ± 0.34,75.76 ± 1.65 / 75.06 ± 1.39,7.95 ± 2.75 / 51.32 ± 3.52,48.65 ± 2.13 / 29.60 ± 2.01,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny</a>,📝,-,0.01,6939037248.0,100352.0,131072.0,✓,✗,(✓),✗,90.31 ± 0.63 / 95.15 ± 0.32,46.19 ± 1.58 / 26.97 ± 2.81,5.91 ± 1.96 / 39.04 ± 2.68,30.11 ± 2.01 / 5.45 ± 1.99,-,26.68 ± 1.74 / 43.93 ± 1.64,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,-,16.8.0.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,-,2.2,32207337984.0,100352.0,131072.0,✓,✗,(✓),✗,92.45 ± 0.47 / 96.21 ± 0.24,57.69 ± 2.18 / 40.19 ± 3.22,3.76 ± 1.80 / 34.01 ± 0.62,68.82 ± 1.38 / 54.10 ± 1.39,-,49.23 ± 1.16 / 61.36 ± 1.04,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,-,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (zero-shot, val)</a>",📝,-,?,?,200019.0,128000.0,✓,✗,✗,✓,87.00 ± 1.21 / 93.21 ± 0.63,45.54 ± 2.30 / 18.91 ± 1.17,28.04 ± 2.05 / 61.59 ± 1.02,60.77 ± 0.81 / 37.79 ± 1.03,-,64.89 ± 1.21 / 73.71 ± 0.93,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/utter-project/EuroLLM-1.7B'>utter-project/EuroLLM-1.7B</a>,🧠,-,N/A,?,128000.0,4096.0,✓,✗,(✓),✓,85.58 ± 1.50 / 92.61 ± 0.88,22.45 ± 2.88 / 19.85 ± 2.60,0.08 ± 2.03 / 40.08 ± 4.63,58.64 ± 2.23 / 44.31 ± 2.45,-,0.47 ± 0.88 / 25.00 ± 0.73,15.10.0,15.10.0,15.10.0,15.10.0,-,15.10.0
<a href='https://hf.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf</a>,🧠,-,N/A,68976653312.0,32000.0,4096.0,✓,✗,(✓),✓,93.51 ± 0.47 / 96.74 ± 0.24,57.04 ± 2.09 / 43.05 ± 3.42,28.34 ± 3.12 / 62.46 ± 1.94,76.05 ± 0.99 / 58.75 ± 1.69,-,22.12 ± 1.15 / 39.66 ± 1.01,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,15.10.0.dev0
<a href='https://hf.co/google/gemma-3n-E4B'>google/gemma-3n-E4B</a>,🧠,-,N/A,7849978192.0,262400.0,?,✓,✗,(✓),✓,93.19 ± 0.45 / 96.58 ± 0.23,44.54 ± 3.26 / 34.39 ± 2.11,13.50 ± 4.74 / 46.89 ± 6.17,75.84 ± 0.98 / 58.70 ± 1.70,-,26.17 ± 1.59 / 43.10 ± 1.54,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,-,15.16.0.dev0
