<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
"<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low (zero-shot, val)</a>",🤔,-,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (val)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low (val)</a>,🤔,-,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (val)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (val)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/openai/gpt-oss-120b'>openai/gpt-oss-120b (val)</a>,🤔,-,120000000000.0,201088.0,131072.0,✓,✗,✗,✓,1.74,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (val)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (val)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low (zero-shot)</a>,🤔,-,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium (zero-shot)</a>,🤔,-,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (val)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
"<a href='https://www.ordbogen.ai/docs/models/odin-large'>ordbogen/odin-large (zero-shot, val)</a>",🤔,-,?,?,202752.0,✓,✗,✗,✓,1.54,-,-
<a href='https://ollama.com/library/gemma3:27b-it-fp16'>ollama_chat/gemma3:27b-it-fp16</a>,📝,-,?,?,?,✓,✗,✗,✓,-,1.59,-
<a href='https://ollama.com/library/gemma3:27b-it-q4_K_M'>ollama_chat/gemma3:27b-it-q4_K_M</a>,📝,-,27432062576.0,?,131072.0,✓,✗,✗,✓,-,-,-
<a href='https://ollama.com/library/gemma3:27b-it-q4_K_M'>ollama_chat/gemma3:27b-it-q4_K_M (val)</a>,📝,-,27400000000.0,262144.0,128000.0,✓,✗,✗,✓,-,1.68,-
<a href='https://ollama.com/library/gemma3:4b-it-q4_K_M'>ollama_chat/gemma3:4b-it-q4_K_M</a>,📝,-,?,?,?,✓,✗,✗,✓,-,2.26,-
<a href='https://ollama.com/library/hf.co'>ollama_chat/hf.co/google/gemma-3-4b-it-qat-q4_0-gguf</a>,📝,-,3880099328.0,?,131072.0,✓,✗,✗,✓,-,2.23,-
<a href='https://ollama.com/library/phi4:14b-q4_K_M'>ollama_chat/phi4:14b-q4_K_M (val)</a>,📝,-,14700000000.0,100352.0,16384.0,✓,✗,✗,✓,-,1.81,-
<a href='https://hf.co/openGPT-X/Teuken-7B-instruct-commercial-v0.4'>openGPT-X/Teuken-7B-instruct-commercial-v0.4</a>,📝,-,7452725248.0,250680.0,4096.0,✓,✗,(✓),✗,-,3.28,-
<a href='https://hf.co/openGPT-X/Teuken-7B-instruct-research-v0.4'>openGPT-X/Teuken-7B-instruct-research-v0.4</a>,📝,-,7452725248.0,250680.0,4096.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/openai-community/gpt2-large'>openai-community/gpt2-large</a>,🧠,-,811778816.0,50257.0,1024.0,✓,✗,(✓),✗,-,4.32,-
<a href='https://hf.co/openai-community/gpt2-medium'>openai-community/gpt2-medium</a>,🧠,-,379988992.0,50257.0,1024.0,✓,✗,(✓),✗,-,4.30,-
<a href='https://hf.co/openai-community/gpt2'>openai-community/gpt2</a>,🧠,-,137022720.0,50257.0,1024.0,✓,✗,(✓),✗,-,4.36,-
"<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium (zero-shot, val)</a>",🤔,-,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (val)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium (val)</a>,🤔,-,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://ollama.com/library/gemma3:12b-it-q4_K_M'>ollama_chat/gemma3:12b-it-q4_K_M (val)</a>,📝,-,12200000000.0,262144.0,128000.0,✓,✗,✗,✓,-,1.75,-
<a href='https://hf.co/meta-llama/Llama-2-7b-chat-hf'>meta-llama/Llama-2-7b-chat-hf</a>,📝,-,6738417664.0,32000.0,4096.0,✓,✗,(✓),✓,-,3.05,-
"<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503 (zero-shot, val)</a>",📝,-,24011361280.0,131072.0,?,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct (zero-shot)</a>,📝,-,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,-,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct (zero-shot)</a>,📝,-,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct (val)</a>,📝,-,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/synquid/gemma-3-4b-pt-laerebogen-with-follow-ups-lora'>synquid/gemma-3-4b-pt-laerebogen-with-follow-ups-lora</a>,📝,-,4300079472.0,262144.0,8192.0,✗,✗,(✓),✗,2.30,-,-
"<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509 (zero-shot, val)</a>",📝,-,8053338176.0,131072.0,65536.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct</a>,📝,-,70553706496.0,128256.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B</a>,🧠,-,70553706496.0,128256.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct</a>,📝,-,8030261248.0,128256.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/synquid/gemma-3-4b-pt-laerebogen-with-follow-ups-lora'>synquid/gemma-3-4b-pt-laerebogen-with-follow-ups-lora (val)</a>,📝,-,4300079472.0,262144.0,8192.0,✗,✗,(✓),✗,2.32,-,-
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B'>meta-llama/Meta-Llama-3-8B</a>,🧠,-,8030261248.0,128256.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/microsoft/Phi-3-mini-128k-instruct'>microsoft/Phi-3-mini-128k-instruct</a>,📝,-,3821079552.0,32064.0,131072.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/microsoft/Phi-3-mini-4k-instruct'>microsoft/Phi-3-mini-4k-instruct</a>,📝,-,3821079552.0,32064.0,2047.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/microsoft/Phi-4-mini-reasoning'>microsoft/Phi-4-mini-reasoning</a>,🤔,-,3836021760.0,200064.0,131072.0,✓,✗,(✓),✓,-,3.70,-
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus</a>,🤔,-,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/microsoft/Phi-4-reasoning'>microsoft/Phi-4-reasoning</a>,🤔,-,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,-,3.31,-
<a href='https://hf.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,-,278220290.0,251000.0,512.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/microsoft/phi-4'>microsoft/phi-4</a>,📝,-,14659507200.0,100352.0,16384.0,✓,✗,(✓),✓,-,2.08,-
<a href='https://hf.co/mideind/IceBERT-ic3'>mideind/IceBERT-ic3</a>,🔍,-,162944162.0,50000.0,514.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/mhenrichsen/danskgpt-tiny-chat'>mhenrichsen/danskgpt-tiny-chat</a>,📝,-,1100056576.0,32002.0,2048.0,✓,✗,(✓),✗,-,-,-
"<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct (zero-shot, val)</a>",📝,-,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.2-3B'>meta-llama/Llama-3.2-3B</a>,🧠,-,3212749824.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct (zero-shot, val)</a>",📝,-,3212749824.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,-,405868625920.0,128256.0,131072.0,✓,✗,(✓),✓,-,1.40,-
<a href='https://hf.co/meta-llama/Llama-3.1-405B'>meta-llama/Llama-3.1-405B</a>,🧠,-,405853388800.0,128256.0,131072.0,✓,✗,(✓),✓,-,1.32,-
<a href='https://hf.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct</a>,📝,-,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,-,1.84,-
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct</a>,🤔,-,7504568320.0,128167.0,32768.0,✓,✗,(✓),✓,3.15,3.18,-
<a href='https://hf.co/tencent/Hunyuan-4B-Instruct'>tencent/Hunyuan-4B-Instruct</a>,🤔,-,4221757440.0,120818.0,262144.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct (zero-shot, val)</a>",📝,-,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,2.48,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct (zero-shot)</a>,📝,-,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/tencent/Hunyuan-1.8B-Instruct'>tencent/Hunyuan-1.8B-Instruct</a>,🤔,-,1791080448.0,120818.0,262144.0,✓,✗,(✓),✓,-,3.63,-
"<a href='https://hf.co/synquid/gemma-3-4b-pt-laerebogen-with-follow-ups-lora'>synquid/gemma-3-4b-pt-laerebogen-with-follow-ups-lora (zero-shot, val)</a>",📝,-,4300079472.0,262144.0,8192.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/synquid/gemma-3-4b-pt-laerebogen-with-follow-ups-lora'>synquid/gemma-3-4b-pt-laerebogen-with-follow-ups-lora (zero-shot)</a>,📝,-,4300079472.0,262144.0,8192.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct (val)</a>,📝,-,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,-,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct (zero-shot)</a>,📝,-,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct (val)</a>,📝,-,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct (zero-shot, val)</a>",📝,-,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,-,3212749824.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct (zero-shot)</a>,📝,-,3212749824.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct (val)</a>,📝,-,3212749824.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/mideind/IceBERT-igc'>mideind/IceBERT-igc</a>,🔍,-,124494162.0,50000.0,514.0,✓,✗,(✓),✗,-,3.63,-
"<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (zero-shot, val)</a>",📝,-,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,-,-,-
<a href='https://hf.co/mideind/IceBERT-large'>mideind/IceBERT-large</a>,🔍,-,406390946.0,50000.0,514.0,✓,✗,(✓),✗,-,3.30,-
<a href='https://hf.co/mideind/IceBERT-xlmr-ic3'>mideind/IceBERT-xlmr-ic3</a>,🔍,-,278545702.0,250002.0,514.0,✓,✗,(✓),✗,-,3.07,-
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct (zero-shot)</a>,📝,-,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512 (val)</a>,📝,-,?,?,?,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512 (zero-shot, val)</a>",📝,-,?,?,?,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct (zero-shot, val)</a>",📝,-,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct (val)</a>,📝,-,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512</a>,📝,-,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (zero-shot)</a>,📝,-,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (zero-shot, val)</a>",📝,-,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct (val)</a>,📝,-,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct (zero-shot)</a>,📝,-,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/mistralai/Mistral-7B-Instruct-v0.1'>mistralai/Mistral-7B-Instruct-v0.1</a>,📝,-,7241732096.0,32000.0,4096.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/mistralai/Mistral-7B-Instruct-v0.2'>mistralai/Mistral-7B-Instruct-v0.2</a>,📝,-,7241732096.0,32000.0,32768.0,✗,✗,(✓),✓,-,-,-
<a href='https://hf.co/mistralai/Mistral-7B-v0.1'>mistralai/Mistral-7B-v0.1</a>,🧠,-,7241732096.0,32000.0,4096.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct (zero-shot, val)</a>",📝,-,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct (val)</a>,📝,-,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/mistralai/Mistral-7B-v0.3'>mistralai/Mistral-7B-v0.3</a>,🧠,-,7248023552.0,32768.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/mistralai/Mistral-Nemo-Instruct-2407'>mistralai/Mistral-Nemo-Instruct-2407</a>,📝,-,12247782400.0,131072.0,131072.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/mistralai/Mistral-Small-24B-Instruct-2501'>mistralai/Mistral-Small-24B-Instruct-2501</a>,📝,-,23572403200.0,131072.0,32768.0,✓,✗,(✓),✓,-,2.11,-
<a href='https://hf.co/mistralai/Ministral-8B-Instruct-2410'>mistralai/Ministral-8B-Instruct-2410</a>,📝,-,8019808256.0,131072.0,32768.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct (zero-shot, val)</a>",📝,-,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/ssmits/Falcon2-5.5B-multilingual'>ssmits/Falcon2-5.5B-multilingual</a>,📝,-,5465415680.0,65024.0,8192.0,✓,✓,(✓),✗,-,-,-
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512 (zero-shot)</a>,📝,-,?,?,?,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/mideind/IceBERT'>mideind/IceBERT</a>,🔍,-,162944162.0,50000.0,514.0,✓,✗,(✓),✗,-,3.59,-
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509 (val)</a>,📝,-,8053338176.0,131072.0,65536.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B (zero-shot)</a>,📝,-,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509 (zero-shot)</a>,📝,-,8053338176.0,131072.0,65536.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B (val)</a>,📝,-,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,-,-,-
"<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B (zero-shot, val)</a>",📝,-,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,-,-,-
"<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509 (zero-shot, val)</a>",📝,-,70599864480.0,131072.0,65536.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509 (val)</a>,📝,-,70599864480.0,131072.0,65536.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512</a>,📝,-,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (zero-shot)</a>,📝,-,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (zero-shot, val)</a>",📝,-,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509 (zero-shot)</a>,📝,-,70599864480.0,131072.0,65536.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/stabilityai/stablelm-zephyr-3b'>stabilityai/stablelm-zephyr-3b</a>,📝,-,2795443200.0,50304.0,2048.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/stabilityai/stablelm-3b-4e1t'>stabilityai/stablelm-3b-4e1t</a>,🧠,-,2795443200.0,50304.0,2048.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512</a>,📝,-,?,?,?,✓,✗,(✓),✓,2.26,2.33,-
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512 (zero-shot)</a>,📝,-,?,?,?,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512 (val)</a>,📝,-,?,?,?,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512 (zero-shot, val)</a>",📝,-,?,?,?,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/stabilityai/stablelm-2-1_6b'>stabilityai/stablelm-2-1_6b</a>,🧠,-,1644515328.0,100352.0,4096.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/mideind/IceBERT-mC4-is'>mideind/IceBERT-mC4-is</a>,🔍,-,162944162.0,50000.0,514.0,✓,✗,(✓),✗,-,4.55,-
<a href='https://hf.co/01-ai/Yi-1.5-34B'>01-ai/Yi-1.5-34B</a>,🧠,-,34388917248.0,64000.0,4096.0,✓,✗,(✓),✗,-,2.03,-
<a href='https://hf.co/emillykkejensen/Llama-3-8B-instruct-dansk'>emillykkejensen/Llama-3-8B-instruct-dansk (zero-shot)</a>,📝,-,?,128256.0,8192.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it (val)</a>,📝,-,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/NbAiLab/notram-bert-norwegian-cased-080321'>NbAiLab/notram-bert-norwegian-cased-080321</a>,🔍,-,178567165.0,119547.0,512.0,✓,✗,(✓),✗,-,1.49,-
<a href='https://hf.co/NbAiLab/roberta_jan_128_ncc'>NbAiLab/roberta_jan_128_ncc</a>,🔍,-,124647939.0,50265.0,514.0,✓,✗,(✓),✗,-,3.35,-
<a href='https://hf.co/Nexusflow/Starling-LM-7B-beta'>Nexusflow/Starling-LM-7B-beta</a>,📝,-,7241748480.0,32002.0,4096.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/NorwAI/NorwAI-Mistral-7B'>NorwAI/NorwAI-Mistral-7B</a>,🧠,-,7536586752.0,67993.0,4096.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/NorwAI/NorwAI-Mixtral-8x7B-instruct'>NorwAI/NorwAI-Mixtral-8x7B-instruct</a>,🧠,-,46997647360.0,67993.0,32768.0,✓,✗,(✓),✗,-,2.02,-
