<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8 (val)</a>,🤔,3.55,2680100864.0,131072.0,262144.0,✓,✗,✗,✓,38.48 ± 2.60 / 68.84 ± 1.48,47.50 ± 0.71 / 32.81 ± 0.85,5.01 ± 2.43 / 46.70 ± 1.11,6.08 ± 0.84 / 2.94 ± 0.53,13.00 ± 0.32 / 13.79 ± 0.33,28.48 ± 2.03 / 45.98 ± 1.58,5.78 ± 3.06 / 53.98 ± 1.47,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,3.55,7241732096.0,32000.0,32768.0,✓,✗,(✓),✗,46.46 ± 16.60 / 69.70 ± 10.64,37.80 ± 1.88 / 26.92 ± 2.06,-0.75 ± 1.46 / 33.27 ± 0.70,36.88 ± 4.88 / 22.23 ± 3.79,17.09 ± 0.54 / 16.96 ± 0.53,4.47 ± 1.29 / 25.87 ± 0.89,0.65 ± 1.20 / 49.17 ± 0.78,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/google/gemma-4-E2B'>google/gemma-4-E2B (val)</a>,🧠,3.59,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,33.81 ± 3.36 / 64.19 ± 2.29,18.81 ± 1.85 / 15.51 ± 1.49,-2.87 ± 2.82 / 41.55 ± 2.07,50.82 ± 1.04 / 31.36 ± 1.70,18.01 ± 0.78 / 18.40 ± 0.86,7.49 ± 2.05 / 30.86 ± 1.56,1.98 ± 5.88 / 50.31 ± 3.77,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.62,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,44.85 ± 7.10 / 71.87 ± 3.85,13.35 ± 2.25 / 11.70 ± 1.65,-1.16 ± 4.21 / 38.45 ± 2.89,42.88 ± 1.07 / 26.46 ± 1.88,22.44 ± 0.77 / 23.12 ± 0.80,-0.22 ± 1.13 / 23.91 ± 0.80,-1.17 ± 1.94 / 49.12 ± 0.82,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview</a>,🧠,3.68,3211926528.0,65536.0,4096.0,✓,✗,(✓),✓,26.84 ± 7.97 / 50.65 ± 8.88,23.62 ± 5.35 / 19.10 ± 4.45,1.05 ± 1.99 / 40.55 ± 4.13,29.62 ± 2.39 / 19.07 ± 2.01,21.55 ± 1.15 / 21.99 ± 1.22,0.86 ± 1.21 / 25.78 ± 0.72,0.88 ± 0.90 / 49.47 ± 0.91,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,3.72,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,33.88 ± 9.23 / 50.50 ± 9.83,19.09 ± 3.48 / 16.92 ± 1.65,-0.79 ± 3.08 / 41.02 ± 4.72,28.27 ± 1.94 / 3.39 ± 1.78,21.45 ± 8.63 / 22.28 ± 8.95,-0.30 ± 1.09 / 23.98 ± 0.67,-0.29 ± 1.63 / 49.12 ± 0.72,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,3.78,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,26.42 ± 9.49 / 50.76 ± 11.74,34.59 ± 1.21 / 26.73 ± 1.34,2.01 ± 5.10 / 48.93 ± 3.21,9.12 ± 1.15 / 0.02 ± 0.04,19.81 ± 1.32 / 19.97 ± 1.40,0.47 ± 1.34 / 26.04 ± 0.77,-0.41 ± 3.33 / 49.04 ± 1.60,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.79,751632384.0,151936.0,40960.0,✓,✗,✗,✓,22.33 ± 11.80 / 56.10 ± 8.31,21.91 ± 2.51 / 17.91 ± 1.56,0.46 ± 4.65 / 37.09 ± 4.10,23.80 ± 1.15 / 10.18 ± 0.89,19.78 ± 0.19 / 19.70 ± 0.19,3.05 ± 0.88 / 27.28 ± 0.86,-0.16 ± 2.28 / 49.00 ± 1.05,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,3.91,7241748480.0,32002.0,32768.0,✗,✗,(✓),✗,20.91 ± 9.29 / 52.19 ± 6.49,33.25 ± 3.25 / 27.09 ± 2.27,1.56 ± 1.86 / 34.29 ± 1.09,43.36 ± 1.70 / 24.22 ± 1.85,2.59 ± 0.02 / 2.67 ± 0.02,4.72 ± 1.02 / 27.42 ± 0.89,-0.94 ± 1.67 / 49.12 ± 1.06,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,3.95,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,52.38 ± 4.90 / 74.96 ± 2.80,31.58 ± 0.98 / 29.88 ± 1.43,1.69 ± 1.99 / 35.24 ± 0.61,0.00 ± 0.00 / 0.00 ± 0.00,3.89 ± 2.59 / 3.86 ± 2.58,14.71 ± 1.34 / 35.59 ± 0.89,-1.76 ± 2.57 / 51.95 ± 1.48,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,3.95,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,9.90 ± 10.11 / 49.94 ± 4.35,18.12 ± 3.52 / 14.61 ± 2.59,0.10 ± 2.34 / 35.47 ± 2.97,4.98 ± 0.42 / 0.00 ± 0.00,21.45 ± 1.41 / 22.02 ± 1.51,0.81 ± 1.35 / 25.25 ± 1.22,-0.36 ± 0.68 / 49.49 ± 0.91,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,3.98,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,23.01 ± 11.69 / 40.68 ± 12.75,15.17 ± 4.27 / 12.13 ± 2.56,0.64 ± 3.85 / 45.12 ± 3.28,3.49 ± 1.06 / 0.76 ± 0.43,18.15 ± 1.59 / 18.56 ± 1.74,-0.86 ± 1.02 / 22.09 ± 0.77,-1.10 ± 2.73 / 49.19 ± 1.20,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.98,1195468800.0,65536.0,2048.0,✓,✗,(✓),✓,1.45 ± 1.54 / 21.86 ± 0.66,24.98 ± 4.38 / 19.95 ± 2.33,2.04 ± 2.32 / 35.23 ± 2.14,17.77 ± 2.02 / 9.09 ± 2.14,18.49 ± 1.11 / 18.94 ± 1.20,-1.99 ± 1.13 / 22.61 ± 0.97,-1.14 ± 1.22 / 48.86 ± 0.84,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,4.01,2424375168.0,99000.0,28723.0,✗,✗,(✓),✓,15.36 ± 15.52 / 48.57 ± 11.60,21.77 ± 2.72 / 19.73 ± 1.71,0.83 ± 2.53 / 36.40 ± 3.21,6.26 ± 1.17 / 0.00 ± 0.00,16.76 ± 0.35 / 16.69 ± 0.35,1.70 ± 1.57 / 25.74 ± 1.31,-0.06 ± 1.31 / 49.38 ± 0.94,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,4.04,353424384.0,65536.0,2048.0,✓,✗,(✓),✓,5.12 ± 11.02 / 38.94 ± 6.00,28.92 ± 3.03 / 24.11 ± 2.34,0.81 ± 2.64 / 35.86 ± 2.85,3.61 ± 0.74 / 0.54 ± 0.29,15.96 ± 0.51 / 16.34 ± 0.57,0.24 ± 1.41 / 24.83 ± 0.94,-0.48 ± 0.88 / 49.21 ± 0.74,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus (val)</a>,🤔,4.10,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,10.64 ± 2.54 / 50.39 ± 1.33,34.64 ± 1.58 / 24.49 ± 1.05,12.37 ± 2.28 / 48.38 ± 1.74,0.09 ± 0.04 / 0.00 ± 0.00,1.45 ± 0.75 / 1.56 ± 0.80,4.11 ± 1.25 / 24.18 ± 0.72,-0.88 ± 0.88 / 63.12 ± 1.08,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,4.14,742489344.0,65536.0,128000.0,✗,✗,(✓),✓,10.80 ± 14.77 / 51.59 ± 8.44,7.73 ± 1.60 / 5.72 ± 1.15,0.78 ± 4.17 / 43.22 ± 3.89,1.20 ± 0.13 / 0.00 ± 0.00,17.34 ± 0.58 / 17.23 ± 0.58,-0.02 ± 1.06 / 25.46 ± 1.39,-1.52 ± 1.53 / 48.96 ± 0.59,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,4.14,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,14.17 ± 7.16 / 35.07 ± 7.65,6.95 ± 1.84 / 6.84 ± 1.21,-1.07 ± 1.29 / 39.20 ± 3.65,1.23 ± 0.36 / 0.00 ± 0.00,17.16 ± 0.32 / 17.06 ± 0.32,0.62 ± 0.97 / 25.56 ± 1.22,0.28 ± 2.15 / 49.33 ± 0.57,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.18,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,10.35 ± 8.34 / 47.47 ± 5.26,5.53 ± 2.01 / 6.33 ± 1.65,0.42 ± 3.50 / 37.73 ± 3.32,1.33 ± 0.42 / 0.13 ± 0.18,13.82 ± 0.83 / 13.79 ± 0.83,0.35 ± 1.13 / 25.25 ± 0.78,0.79 ± 1.39 / 49.23 ± 0.78,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.19,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,6.68 ± 5.74 / 42.58 ± 4.74,15.91 ± 1.60 / 16.83 ± 1.52,2.12 ± 1.92 / 37.59 ± 3.76,2.55 ± 0.36 / 0.76 ± 0.50,13.97 ± 0.62 / 13.93 ± 0.61,-0.69 ± 1.15 / 23.68 ± 0.84,-0.76 ± 1.25 / 49.35 ± 0.85,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct (val)</a>,🤔,4.19,7504568320.0,128167.0,32768.0,✓,✗,(✓),✓,-0.57 ± 3.12 / 46.08 ± 1.68,14.58 ± 1.03 / 12.65 ± 0.82,2.77 ± 2.11 / 44.52 ± 1.06,10.75 ± 0.48 / 0.00 ± 0.00,12.24 ± 3.41 / 13.34 ± 3.72,0.69 ± 0.71 / 23.75 ± 0.68,0.00 ± 0.00 / 63.28 ± 1.13,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,17.0.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct</a>,📝,4.22,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,0.49 ± 2.53 / 36.54 ± 4.27,3.57 ± 0.51 / 2.96 ± 0.47,-0.34 ± 1.53 / 37.37 ± 3.42,2.33 ± 0.14 / 0.02 ± 0.04,19.01 ± 0.40 / 19.22 ± 0.40,-0.13 ± 0.84 / 25.72 ± 1.14,1.05 ± 1.64 / 49.38 ± 0.87,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.14.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,4.24,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,6.52 ± 10.37 / 47.63 ± 6.68,1.22 ± 0.48 / 1.02 ± 0.35,0.82 ± 1.42 / 36.53 ± 2.78,1.07 ± 0.16 / 0.00 ± 0.00,16.07 ± 0.20 / 15.96 ± 0.21,-0.07 ± 1.26 / 25.17 ± 1.78,0.96 ± 1.69 / 50.27 ± 1.25,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.28,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,1.43 ± 11.63 / 40.48 ± 8.57,11.74 ± 1.82 / 12.81 ± 2.14,0.00 ± 0.00 / 33.27 ± 0.70,1.95 ± 0.32 / 0.00 ± 0.00,13.22 ± 1.26 / 13.16 ± 1.28,-1.14 ± 0.98 / 24.46 ± 0.56,-0.88 ± 1.15 / 49.34 ± 0.71,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base</a>,🧠,4.29,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,3.93 ± 3.58 / 24.39 ± 2.97,2.07 ± 0.79 / 3.92 ± 1.35,0.61 ± 1.66 / 37.09 ± 3.94,1.79 ± 0.45 / 0.22 ± 0.29,12.94 ± 1.97 / 13.09 ± 1.99,1.25 ± 1.13 / 26.06 ± 0.75,-0.33 ± 0.65 / 49.10 ± 0.76,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.14.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.31,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,7.80 ± 6.11 / 47.76 ± 3.68,3.41 ± 2.26 / 3.26 ± 1.49,-0.70 ± 2.31 / 35.27 ± 2.15,1.31 ± 0.19 / 0.00 ± 0.00,12.89 ± 0.80 / 12.86 ± 0.81,-1.18 ± 1.61 / 24.54 ± 1.39,0.67 ± 1.86 / 50.11 ± 1.00,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (val)</a>,📝,4.46,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,-11.31 ± 5.28 / 32.91 ± 1.08,0.00 ± 0.00 / 0.00 ± 0.00,-1.88 ± 2.15 / 38.72 ± 2.68,0.76 ± 0.13 / 0.00 ± 0.00,8.70 ± 0.23 / 8.66 ± 0.23,1.94 ± 2.00 / 24.92 ± 1.26,3.53 ± 1.91 / 44.22 ± 3.91,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking</a>,📝,4.48,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,0.44 ± 4.58 / 45.52 ± 1.55,0.02 ± 0.02 / 0.01 ± 0.01,1.54 ± 4.60 / 47.20 ± 3.60,1.58 ± 0.18 / 0.00 ± 0.00,4.99 ± 0.22 / 5.24 ± 0.23,-0.47 ± 0.58 / 24.65 ± 0.86,0.90 ± 2.06 / 49.67 ± 1.31,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.14.0.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/PleIAs/Monad'>PleIAs/Monad</a>,🧠,4.50,56656128.0,8192.0,2048.0,✓,✗,(✓),✓,0.45 ± 4.86 / 47.92 ± 2.72,0.00 ± 0.00 / 0.00 ± 0.00,1.11 ± 2.04 / 43.89 ± 3.72,1.38 ± 0.10 / 0.00 ± 0.00,4.60 ± 0.03 / 4.50 ± 0.03,-0.43 ± 1.06 / 24.76 ± 0.96,0.41 ± 1.57 / 49.12 ± 0.76,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.14.0.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct</a>,📝,4.58,1596507648.0,32000.0,8192.0,✓,✗,(✓),✓,0.00 ± 0.00 / 42.03 ± 0.14,0.00 ± 0.00 / 0.00 ± 0.00,0.33 ± 2.20 / 40.29 ± 4.22,0.20 ± 0.04 / 0.00 ± 0.00,1.08 ± 0.01 / 1.11 ± 0.01,0.34 ± 0.43 / 24.25 ± 0.82,-0.92 ± 1.56 / 49.32 ± 0.89,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Base'>LiquidAI/LFM2.5-1.2B-Base</a>,📝,-,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,12.55 ± 6.64 / 40.03 ± 7.99,0.88 ± 0.69 / 1.75 ± 1.10,0.47 ± 2.40 / 35.30 ± 2.85,1.18 ± 0.20 / 0.00 ± 0.00,-,-1.21 ± 1.32 / 24.37 ± 0.74,0.13 ± 0.67 / 49.67 ± 0.87,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,-,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,-,40433885184.0,256000.0,32768.0,✓,✗,(✓),✓,75.89 ± 2.86 / 86.41 ± 1.86,54.18 ± 2.45 / 41.29 ± 3.06,36.71 ± 4.24 / 62.56 ± 4.90,67.96 ± 1.52 / 45.55 ± 1.49,-,31.41 ± 1.45 / 45.93 ± 1.35,7.41 ± 2.77 / 50.29 ± 0.86,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,-,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,-,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,-,27.00 ± 1.52 / 26.70 ± 2.25,3.26 ± 2.63 / 33.81 ± 0.70,-,-,14.13 ± 1.25 / 35.07 ± 0.91,5.05 ± 1.37 / 52.48 ± 0.68,-,16.11.0.dev0,16.11.0.dev0,-,-,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,-,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,28.84 ± 11.66 / 61.41 ± 7.47,19.11 ± 1.77 / 16.00 ± 1.32,1.30 ± 2.01 / 33.59 ± 0.90,5.56 ± 0.68 / 0.50 ± 0.31,-,8.59 ± 1.04 / 30.42 ± 0.77,2.23 ± 2.76 / 51.35 ± 1.37,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,-,16.5.0.dev0,16.5.0.dev0
<a href='https://hf.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,-,310266624.0,128256.0,8192.0,✓,✗,(✓),✓,54.53 ± 3.16 / 76.31 ± 2.17,48.24 ± 3.15 / 56.77 ± 2.39,2.89 ± 2.69 / 39.41 ± 5.14,5.64 ± 0.81 / 2.21 ± 0.64,-,-,-,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,-,-,-
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Thinking'>LiquidAI/LFM2.5-1.2B-Thinking</a>,🤔,-,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,-1.17 ± 1.96 / 39.69 ± 3.30,1.04 ± 0.47 / 0.77 ± 0.30,2.62 ± 3.05 / 48.23 ± 2.62,1.70 ± 0.16 / 0.02 ± 0.04,-,2.96 ± 0.76 / 27.08 ± 0.61,1.54 ± 2.52 / 50.80 ± 1.26,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.11.0.dev0,-,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,-,117654272.0,250037.0,512.0,✓,✗,(✓),✗,69.24 ± 1.66 / 83.37 ± 0.79,59.16 ± 2.21 / 68.77 ± 1.52,0.09 ± 3.24 / 47.74 ± 2.11,0.02 ± 0.05 / 0.00 ± 0.00,-,-,-,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,-,-,-
<a href='https://hf.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,-,470927360.0,501153.0,512.0,✓,✗,(✓),✗,71.45 ± 4.84 / 84.64 ± 2.64,83.22 ± 0.97 / 83.32 ± 0.87,59.86 ± 2.76 / 78.67 ± 1.61,23.59 ± 1.26 / 16.31 ± 1.50,-,-,-,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,-,-,-
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct</a>,📝,-,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,-7.70 ± 6.77 / 26.51 ± 2.86,2.66 ± 0.86 / 6.87 ± 1.75,1.14 ± 3.87 / 33.97 ± 1.14,0.46 ± 0.09 / 0.00 ± 0.00,-,-0.87 ± 1.19 / 23.11 ± 0.97,-0.53 ± 2.01 / 49.97 ± 0.97,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,-,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,-,22637328384.0,128000.0,4096.0,✓,✗,(✓),✓,77.31 ± 1.89 / 88.18 ± 0.90,52.07 ± 2.23 / 38.59 ± 2.19,35.94 ± 4.75 / 56.77 ± 4.95,65.46 ± 1.24 / 36.20 ± 2.72,-,39.02 ± 1.28 / 53.15 ± 0.92,18.99 ± 1.52 / 59.24 ± 0.77,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,-,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,-,?,128000.0,4096.0,✓,✗,(✓),✓,77.90 ± 1.04 / 87.95 ± 0.69,49.13 ± 1.72 / 36.65 ± 2.08,43.09 ± 3.71 / 67.79 ± 3.53,71.02 ± 2.30 / 51.28 ± 1.94,-,37.80 ± 0.87 / 53.38 ± 0.70,19.75 ± 1.77 / 59.90 ± 0.86,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,-,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,-,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,80.84 ± 1.94 / 90.32 ± 1.02,63.68 ± 1.22 / 48.87 ± 2.80,49.53 ± 2.68 / 73.45 ± 1.23,39.84 ± 1.23 / 0.65 ± 0.18,-,46.15 ± 0.89 / 59.56 ± 0.64,36.41 ± 1.97 / 67.54 ± 1.03,16.10.0,16.10.0,16.10.0,16.10.0,-,16.10.0,16.10.0
